trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
919,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.70299937474368,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
920,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.35903037296687,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
921,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.60859897275942,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
922,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.18382070471692,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
923,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.420012667231788,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
924,False,"{'a': 0.5, 'e': 1.0}",20,0,-10.634424587996639,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
925,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.91103772447168,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
926,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.54092885370362,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
927,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.60867828110975,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
928,False,"{'a': 0.5, 'e': 1.0}",20,5,-46.929060424762255,"{0: 7, 1: 4, 2: 4, 3: 0, 4: 0}",1
929,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.50400077099347,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
930,False,"{'a': 0.5, 'e': 1.0}",20,4,-47.77189284900716,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 0}",1
931,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.52673935286936,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
932,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.34968025539263,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
933,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.86258306560407,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
934,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.82295853780136,"{0: 7, 1: 9, 2: 4, 3: 0, 4: 0}",0
935,False,"{'a': 0.5, 'e': 1.0}",20,6,-42.1623023234618,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 0}",1
936,False,"{'a': 0.5, 'e': 1.0}",20,11,-18.762653631610355,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 0}",1
937,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.983815284349053,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
938,False,"{'a': 0.5, 'e': 1.0}",20,13,5.3994742678620895,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
939,False,"{'a': 0.5, 'e': 1.0}",20,10,-58.7794545803076,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
940,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.2993871586429,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
941,False,"{'a': 0.5, 'e': 1.0}",20,7,-53.288924576730864,"{0: 6, 1: 1, 2: 6, 3: 0, 4: 0}",1
942,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.95058865860989,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
943,False,"{'a': 0.5, 'e': 1.0}",20,7,-22.506129415820595,"{0: 8, 1: 4, 2: 1, 3: 0, 4: 0}",1
944,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.27995572239257,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
945,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.66659895792013,"{0: 8, 1: 4, 2: 8, 3: 0, 4: 0}",0
946,False,"{'a': 0.5, 'e': 1.0}",20,11,13.529770609868894,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
947,False,"{'a': 0.5, 'e': 1.0}",20,9,-46.26060698421645,"{0: 5, 1: 1, 2: 5, 3: 0, 4: 0}",1
948,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.79480094945953,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
949,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.16516241097773,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
950,False,"{'a': 0.5, 'e': 1.0}",20,7,3.052795295143552,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
951,False,"{'a': 0.5, 'e': 1.0}",20,3,-108.37038236816488,"{0: 8, 1: 0, 2: 8, 3: 0, 4: 1}",1
952,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.313468449985088,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
953,False,"{'a': 0.5, 'e': 1.0}",20,11,-22.32541178772794,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
954,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.058909026251385,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
955,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.66271559306449,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
956,False,"{'a': 0.5, 'e': 1.0}",20,5,-50.965109538455586,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
957,False,"{'a': 0.5, 'e': 1.0}",20,5,-44.63872506312634,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 0}",1
958,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.47395546934707,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
959,False,"{'a': 0.5, 'e': 1.0}",20,1,-37.733289940841416,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 0}",1
960,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.251671690078805,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
961,False,"{'a': 0.5, 'e': 1.0}",20,12,-12.133540997778866,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
